source,author,title,group_id,work_id,urn,output
adams.mass19.ie.xml,John G. B. Adams,Reminiscences of the Nineteenth Massachusetts Regiment,john_g_b_adams,adams_mass19,urn:cts:americanLit:john_g_b_adams.adams_mass19.perseus-eng1,data/john_g_b_adams/adams_mass19/john_g_b_adams.adams_mass19.perseus-eng1.xml
agassiz.life.ie.xml,Elizabeth Cary Agassiz,"Louis Agassiz: his life and correspondence, third edition",elizabeth_cary_agassiz,agassiz_life,urn:cts:americanLit:elizabeth_cary_agassiz.agassiz_life.perseus-eng1,data/elizabeth_cary_agassiz/agassiz_life/elizabeth_cary_agassiz.agassiz_life.perseus-eng1.xml
alcott.hosp.ie.xml,Louisa May Alcott,Hospital Sketches: An Army Nurse's True Account of her Experience during the Civil War.,louisa_may_alcott,alcott_hosp,urn:cts:americanLit:louisa_may_alcott.alcott_hosp.perseus-eng1,data/louisa_may_alcott/alcott_hosp/louisa_may_alcott.alcott_hosp.perseus-eng1.xml
alexander.mem.ie.xml,Edward Porter Alexander,Military memoirs of a Confederate: a critical narrative,edward_porter_alexander,alexander_mem,urn:cts:americanLit:edward_porter_alexander.alexander_mem.perseus-eng1,data/edward_porter_alexander/alexander_mem/edward_porter_alexander.alexander_mem.perseus-eng1.xml
ammen.atlantic.ie.xml,"Daniel Ammen, Rear-Admiral U. S. Navy",The Atlantic coast,daniel_ammen_rear_admiral_u_s_navy,ammen_atlantic,urn:cts:americanLit:daniel_ammen_rear_admiral_u_s_navy.ammen_atlantic.perseus-eng1,data/daniel_ammen_rear_admiral_u_s_navy/ammen_atlantic/daniel_ammen_rear_admiral_u_s_navy.ammen_atlantic.perseus-eng1.xml
andrews.journal.ie.xml,Eliza Frances Andrews,"The war-time journal of a Georgia girl, 1864-1865",eliza_frances_andrews,andrews_journal,urn:cts:americanLit:eliza_frances_andrews.andrews_journal.perseus-eng1,data/eliza_frances_andrews/andrews_journal/eliza_frances_andrews.andrews_journal.perseus-eng1.xml
arnold.civ.ie.xml,Matthew Arnold,Civilization in the United States: First and Last Impressions of America.,matthew_arnold,arnold_civ,urn:cts:americanLit:matthew_arnold.arnold_civ.perseus-eng1,data/matthew_arnold/arnold_civ/matthew_arnold.arnold_civ.perseus-eng1.xml
asjohnst.bio.ie.xml,Colonel William Preston Johnston,"The Life of General Albert Sidney Johnston: His Service in the Armies of the United States, the Republic of Texas, and the Confederate States.",colonel_william_preston_johnston,asjohnst_bio,urn:cts:americanLit:colonel_william_preston_johnston.asjohnst_bio.perseus-eng1,data/colonel_william_preston_johnston/asjohnst_bio/colonel_william_preston_johnston.asjohnst_bio.perseus-eng1.xml
atlas.index.ie.xml,"Capt. Calvin D. Cowles, 23d U. S. Infantry",The Official Military Atlas of the Civil War,capt_calvin_d_cowles_23d_u_s_infantry,atlas_index,urn:cts:americanLit:capt_calvin_d_cowles_23d_u_s_infantry.atlas_index.perseus-eng1,data/capt_calvin_d_cowles_23d_u_s_infantry/atlas_index/capt_calvin_d_cowles_23d_u_s_infantry.atlas_index.perseus-eng1.xml
badeau.grant1.ie.xml,Adam Badeau,Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 1,adam_badeau,badeau_grant1,urn:cts:americanLit:adam_badeau.badeau_grant1.perseus-eng1,data/adam_badeau/badeau_grant1/adam_badeau.badeau_grant1.perseus-eng1.xml
badeau.grant2.ie.xml,Adam Badeau,Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 2,adam_badeau,badeau_grant2,urn:cts:americanLit:adam_badeau.badeau_grant2.perseus-eng1,data/adam_badeau/badeau_grant2/adam_badeau.badeau_grant2.perseus-eng1.xml
badeau.grant3.ie.xml,Adam Badeau,Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 3,adam_badeau,badeau_grant3,urn:cts:americanLit:adam_badeau.badeau_grant3.perseus-eng1,data/adam_badeau/badeau_grant3/adam_badeau.badeau_grant3.perseus-eng1.xml
badeau.grantp.ie.xml,Adam Badeau,"Grant in peace: from Appomattox to Mount McGregor, a personal memoir",adam_badeau,badeau_grantp,urn:cts:americanLit:adam_badeau.badeau_grantp.perseus-eng1,data/adam_badeau/badeau_grantp/adam_badeau.badeau_grantp.perseus-eng1.xml
bancroft01.ie.xml,George Bancroft,History of the Colonization of the United States,george_bancroft,bancroft01,urn:cts:americanLit:george_bancroft.bancroft01.perseus-eng1,data/george_bancroft/bancroft01/george_bancroft.bancroft01.perseus-eng1.xml
bancroft02.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft02,urn:cts:americanLit:george_bancroft.bancroft02.perseus-eng1,data/george_bancroft/bancroft02/george_bancroft.bancroft02.perseus-eng1.xml
bancroft03.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft03,urn:cts:americanLit:george_bancroft.bancroft03.perseus-eng1,data/george_bancroft/bancroft03/george_bancroft.bancroft03.perseus-eng1.xml
bancroft04.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft04,urn:cts:americanLit:george_bancroft.bancroft04.perseus-eng1,data/george_bancroft/bancroft04/george_bancroft.bancroft04.perseus-eng1.xml
bancroft05.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft05,urn:cts:americanLit:george_bancroft.bancroft05.perseus-eng1,data/george_bancroft/bancroft05/george_bancroft.bancroft05.perseus-eng1.xml
bancroft06.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft06,urn:cts:americanLit:george_bancroft.bancroft06.perseus-eng1,data/george_bancroft/bancroft06/george_bancroft.bancroft06.perseus-eng1.xml
bancroft07.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft07,urn:cts:americanLit:george_bancroft.bancroft07.perseus-eng1,data/george_bancroft/bancroft07/george_bancroft.bancroft07.perseus-eng1.xml
bancroft08.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft08,urn:cts:americanLit:george_bancroft.bancroft08.perseus-eng1,data/george_bancroft/bancroft08/george_bancroft.bancroft08.perseus-eng1.xml
bancroft10.ie.xml,George Bancroft,History of the United States from the Discovery of the American Continent,george_bancroft,bancroft10,urn:cts:americanLit:george_bancroft.bancroft10.perseus-eng1,data/george_bancroft/bancroft10/george_bancroft.bancroft10.perseus-eng1.xml
batt.south.ie.xml,"An English Combatant, Lieutenant of Artillery of the Field Staff.","Battlefields of the South from Bull Run to Fredericksburgh; with sketches of Confederate commanders, and gossip of the camps.",an_english_combatant_lieutenant_of_artillery_of_the_field_staff,batt_south,urn:cts:americanLit:an_english_combatant_lieutenant_of_artillery_of_the_field_staff.batt_south.perseus-eng1,data/an_english_combatant_lieutenant_of_artillery_of_the_field_staff/batt_south/an_english_combatant_lieutenant_of_artillery_of_the_field_staff.batt_south.perseus-eng1.xml
beatty.citsold.ie.xml,John Beatty,"The Citizen-Soldier; or, Memoirs of a Volunteer",john_beatty,beatty_citsold,urn:cts:americanLit:john_beatty.beatty_citsold.perseus-eng1,data/john_beatty/beatty_citsold/john_beatty.beatty_citsold.perseus-eng1.xml
beers.mem.ie.xml,Fannie A. Beers,Memories: a record of personal exeperience and adventure during four years of war.,fannie_a_beers,beers_mem,urn:cts:americanLit:fannie_a_beers.beers_mem.perseus-eng1,data/fannie_a_beers/beers_mem/fannie_a_beers.beers_mem.perseus-eng1.xml
bennett.massliart.ie.xml,"A. J. Bennett, private, First Massachusetts Light Battery","The story of the First Massachusetts Light Battery, attached to the Sixth Army Corps: glance at events in the armies of the Potomac and Shenandoah, from the summer of 1861 to the autumn of 1864.",a_j_bennett_private_first_massachusetts_light_battery,bennett_massliart,urn:cts:americanLit:a_j_bennett_private_first_massachusetts_light_battery.bennett_massliart.perseus-eng1,data/a_j_bennett_private_first_massachusetts_light_battery/bennett_massliart/a_j_bennett_private_first_massachusetts_light_battery.bennett_massliart.perseus-eng1.xml
bennett.revival.ie.xml,William W. Bennett,A narrative of the great revival which prevailed in the Southern armies during the late Civil War,william_w_bennett,bennett_revival,urn:cts:americanLit:william_w_bennett.bennett_revival.perseus-eng1,data/william_w_bennett/bennett_revival/william_w_bennett.bennett_revival.perseus-eng1.xml
best.ny121.ie.xml,Isaac O. Best,History of the 121st New York State Infantry,isaac_o_best,best_ny121,urn:cts:americanLit:isaac_o_best.best_ny121.perseus-eng1,data/isaac_o_best/best_ny121/isaac_o_best.best_ny121.perseus-eng1.xml
